tweet_id,date,content,companies
1897791563738104078,2025-03-06 23:29:02+00:00,Whoever is walking down Broadcom right now i think is making a mistake,AVGO
1897795806423662698,2025-03-06 23:45:54+00:00,This man was a titan. He inspired so many of us to be reporters. Fearless https://t.co/5I0Bw1TKIu,
1897928984647622746,2025-03-07 08:35:06+00:00,We just aren't oversold enough to get that powerful bounce that you would think could occur off of Broadcom.  A lot of destruction...,AVGO
1897986354723619029,2025-03-07 12:23:04+00:00,Five point decline in last four hours: Broadcom,AVGO
1898035610712986073,2025-03-07 15:38:48+00:00,Drug rally absurd at this point,
1898065237556817967,2025-03-07 17:36:31+00:00,"Taken advantage of the insane rally in drugs and repositioning. Stay close, club members, some upgrades and some buys",
1898112788825788886,2025-03-07 20:45:28+00:00,"Quick, close the market!!! Ring the closing bell!! Fast!!!",
1898118001221857777,2025-03-07 21:06:11+00:00,Finally...nothing!!!,
1898409175694159879,2025-03-08 16:23:12+00:00,Theyâ€™re here!!!! https://t.co/Sm2gcjOeOb,
1898730949493289180,2025-03-09 13:41:49+00:00,Morning glory! u bet you had a great time last night! https://t.co/JrkuExRimw,
